Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	
0	-1778.223708755672	-1869.6560892397388	91.43238048406661	-1869.6560892397388	0.01558475751891123	91.43238048406661	164.67403501199345	
1	-1769.0065194098422	-1867.7628212038371	98.756301793995	-1867.7628212038371	0.010985800135701352	98.756301793995	274.36315453891825	
2	-1764.6302119543489	-1864.7969529161064	100.16674096175751	-1864.7969529161064	0.01014900081981652	100.16674096175751	330.13811297664824	
3	-1766.102491854756	-1863.6760877695842	97.57359591482816	-1863.6760877695842	0.00998665529672932	97.57359591482816	314.9022709554363	
4	-1766.102491854756	-1863.6760877695842	97.57359591482816	-1863.6760877695842	0.00998665529672932	97.57359591482816	314.9022709554363	
5	-1768.7991745766399	-1860.6165650583218	91.81739048168188	-1860.6165650583218	0.015098169599511022	91.81739048168188	255.807878433106	
6	-1768.7991745766399	-1860.6165650583218	91.81739048168188	-1860.6165650583218	0.015098169599511022	91.81739048168188	255.807878433106	
7	-1768.3425734399375	-1860.1539276695185	91.81135422958087	-1860.1539276695185	0.011684661328025132	91.81135422958087	151.75540186769666	
8	-1774.27335197409	-1860.07048740603	85.79713543193994	-1860.07048740603	0.016130030031255554	85.79713543193994	259.6102570582705	
9	-1765.4699201348444	-1857.0528271851679	91.58290705032346	-1857.0528271851679	0.015634021726781928	91.58290705032346	248.40521582220342	
10	-1765.4699201348444	-1857.0528271851679	91.58290705032346	-1857.0528271851679	0.015634021726781928	91.58290705032346	248.40521582220342	
11	-1761.7440569883654	-1856.1644102747605	94.42035328639511	-1856.1644102747605	0.011973419578455347	94.42035328639511	308.46163857457293	
12	-1762.2674029965299	-1856.0801935830189	93.81279058648893	-1856.0801935830189	0.013427630996219825	93.81279058648893	380.2148690444751	
13	-1762.2674029965299	-1856.0801935830189	93.81279058648893	-1856.0801935830189	0.013427630996219825	93.81279058648893	380.2148690444751	
14	-1757.8794728771413	-1854.2072988072225	96.32782593008119	-1854.2072988072225	0.013321557412697848	96.32782593008119	328.22456390708106	
